Excel行,模型ID,单元,注入位置（结构与正常作用）,故障类型,故障模型（实施步骤与激活口径）,适用频率,适用负载（真实名称）,事件触发条件,传播链重点观测,预期结果（待验证假设）,设计理由,文献依据/直接性
48,O05,原子与同步,原子 RMW 事务从 LSU 发出到一致性系统完成的 request/done 通路及线性化事件。一次 RMW 必须恰好执行一次，并在全局顺序中的一个明确点生效。,时序,丢失、重复一次RMW，或提前done允许后续load越过。实施细则：绑定一条明确的 dynamic instruction 或 transaction ID，只改变一次事件的发生周期或次数；提前、延后、丢失和重复必须分成独立子模型。数据载荷保持正确，以便把结果归因于握手/完成时序而不是数据翻转。激活口径：仅当“原子事务”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F4 / F6,Atomic-Litmus 并发探针（MP、SB、LB、IRIW、Dekker、ticket lock、CAS counter、LDXR/STXR）,原子事务,L0 原子/屏障事件激活；L1 exclusive monitor、RMW旧值/新值、done/成功码；L2顺序队列与一致性事务；L3跨核可见顺序；L4禁出现结果/提交序；L5结局；transaction ID、coherence序、线性化历史、重复检测,重复/丢失直接改变计数；提前done可能违反顺序并只在并发下显现,单线程负载无法覆盖的并发结构化故障,MICRO'24时延方法论类比
49,O06,原子与同步,DMB/DSB 屏障的完成状态与前后内存事务排空条件。DMB 约束可见顺序，DSB 还要求相关操作完成；提前 done 会让后续访问越过屏障，延后/丢失 done 则会停顿。,时序,提前done、延后或丢失一次barrier completion；屏障指令本身仍提交。实施细则：绑定一条明确的 dynamic instruction 或 transaction ID，只改变一次事件的发生周期或次数；提前、延后、丢失和重复必须分成独立子模型。数据载荷保持正确，以便把结果归因于握手/完成时序而不是数据翻转。激活口径：仅当“barrier有前后内存事务”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F4 / F6,Atomic-Litmus 并发探针（MP、SB、LB、IRIW、Dekker、ticket lock、CAS counter、LDXR/STXR）,barrier有前后内存事务,L0 原子/屏障事件激活；L1 exclusive monitor、RMW旧值/新值、done/成功码；L2顺序队列与一致性事务；L3跨核可见顺序；L4禁出现结果/提交序；L5结局；屏障前后请求、全局可见序、禁出现结果,提前done可能出现Arm内存模型禁出现结果；延后多为性能/Timeout,屏障正确性必须用litmus结果而非单线程输出判断,无直接文献
50,O07,原子与同步,LSU 内部 ordering queue 的 order tag、valid/ready 和选择逻辑。它维护 acquire/release、屏障和普通访存的先后关系；交换两个合法序号可能只改变时序，也可能产生 Arm 内存模型禁止的结果。,换值,交换两个在飞事务的order tag，或valid/ready伪造。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“至少2个相关事务”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,Atomic-Litmus 并发探针（MP、SB、LB、IRIW、Dekker、ticket lock、CAS counter、LDXR/STXR）,至少2个相关事务,L0 原子/屏障事件激活；L1 exclusive monitor、RMW旧值/新值、done/成功码；L2顺序队列与一致性事务；L3跨核可见顺序；L4禁出现结果/提交序；L5结局；per-core issue/commit/global order、replay、snoop,可能只改变时序，也可能违反release/acquire；依赖并发负载,覆盖排序状态而非数据阵列,无直接文献
51,O08,原子与同步,原子/屏障路径上的一致性错误、RAS 上报与 poison 传播控制。该位置不是普通操作数，而是决定发现错误后是否阻止提交、回滚或进入异常；仅在实现相应保护时有效。,保护,丢失exclusive monitor或coherence错误上报、poison在RMW路径被清除。实施细则：仅在 S5 保护配置存在对应机制时执行；校验位翻转、检出未上报、纠正不回写、scrub 错地址和 poison 丢失分别作为独立 campaign。B0 无保护结果标为不适用，不允许填成零故障率。激活口径：仅当“实现提供RAS/poison时”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F5 / F6,Atomic-Litmus 并发探针（MP、SB、LB、IRIW、Dekker、ticket lock、CAS counter、LDXR/STXR）,实现提供RAS/poison时,L0 原子/屏障事件激活；L1 exclusive monitor、RMW旧值/新值、done/成功码；L2顺序队列与一致性事务；L3跨核可见顺序；L4禁出现结果/提交序；L5结局；error signal、poison、异常入口、事务回滚,可能把可检测一致性错误转为静默；无保护实现标N/A,为未来保护实现预留，不在B0强行假定存在,扩展实验
52,P01,数据预取器,Stride prefetcher 的 PC/PHT tag 与 stride 历史字段。PC/tag 用于识别哪条 load 的历史，stride 记录相邻访问地址差；错误通常生成错误预取地址，但原则上不应直接改变需求 load 的架构结果。,单比特翻转,在有效训练项的PC tag或stride翻转1 bit；B0为L2 StridePrefetcher代理。实施细则：每次故障运行只选一个当前有效且可被后续使用的目标，在指定字段内均匀抽取一个 bit 做一次 XOR 翻转；其余字段保持无故障值。保存目标 entry/way、bit 编号、原值和故障值，避免把未使用空项计为有效样本。激活口径：仅当“预取器已有训练项”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F1 / F2,"BEEBS-DelayAVF 论文负载（md5、libbubblesort、libstrstr、matmult、libfibcall）
Prefetch-Stride 预取探针（正/负/交错 stride、pointer chase、跨页 stride、训练后变步长）",预取器已有训练项,L0 训练项/请求是否消费；L1 PC/stride/confidence/queue；L2预取地址、issued/useful/late/useless；L3填充way、驱逐对象、需求合并；L4架构结果；L5结局与性能偏差；issued/useful/late/useless、覆盖率、MPKI、输出,通常只改命中率/带宽；若错误请求仍合法，不应改变架构结果，是负对照,检验TC'23“预取错误不改架构状态”的边界,TC'23排除理由；MICRO'24预取buffer结果作不同模型对照
53,P02,数据预取器,预取器的 confidence、degree、distance 与 throttle 控制。confidence 决定模式是否可信，degree 是一次发出多少条预取，distance 是提前多远，throttle 限制带宽；这些字段通常只改变性能和污染。,状态,confidence清零/伪造，degree或distance换成合法值，throttle stuck-open/closed。实施细则：一次运行只改变一个状态位或一种状态转换；清零、伪造、提前置位和延后清除分别统计，不在同一样本叠加。注入前后记录状态机轨迹与关联 instruction/transaction，检查是否破坏占用、唯一性或顺序不变量。激活口径：仅当“稳定stride训练后”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F3 / F5,"Prefetch-Stride 预取探针（正/负/交错 stride、pointer chase、跨页 stride、训练后变步长）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",稳定stride训练后,L0 训练项/请求是否消费；L1 PC/stride/confidence/queue；L2预取地址、issued/useful/late/useless；L3填充way、驱逐对象、需求合并；L4架构结果；L5结局与性能偏差；预取数量、带宽、污染率、IPC、最终输出,预期仅性能/能耗/带宽变化，SDC应为0；作为方法学负对照,若此行出现SDC，优先检查注入器是否污染fill数据/元数据,负对照
54,P03,数据预取器,预取器计算出的 target address，即将提交给 cache 层的预取目标。它不是需求 load 的 EA；取错合法地址应只带来无用预取或错误驱逐，因此是检验“预取错误不改结果”的重要负对照。,换值,替换为同页/跨页的另一合法对齐地址；分别测试允许与禁止跨页。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“产生预取请求”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,"Prefetch-Stride 预取探针（正/负/交错 stride、pointer chase、跨页 stride、训练后变步长）
GAP/Graph500 子集（BFS、SSSP、PageRank，固定图与结果哈希）",产生预取请求,L0 训练项/请求是否消费；L1 PC/stride/confidence/queue；L2预取地址、issued/useful/late/useless；L3填充way、驱逐对象、需求合并；L4架构结果；L5结局与性能偏差；请求地址、页边界、是否被用、受害驱逐line,仅取错地址本应不改架构结果，但会改变驱逐；若最终SDC说明fill/一致性路径有缺陷,把“预测错误”与“填充控制错误”明确分开,TC'23排除理由的直接检验
55,P04,数据预取器,Prefetch request queue 的 entry、valid 与 head/tail 指针。队列保存尚未发出的预取地址和来源 PC；状态错可能重复、丢失或发出陈旧请求，并影响其 transaction ID。,状态,valid丢失/伪造、指针±1、选择另一个合法队列项。实施细则：一次运行只改变一个状态位或一种状态转换；清零、伪造、提前置位和延后清除分别统计，不在同一样本叠加。注入前后记录状态机轨迹与关联 instruction/transaction，检查是否破坏占用、唯一性或顺序不变量。激活口径：仅当“queue非空”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F4 / F5,"BEEBS-DelayAVF 论文负载（md5、libbubblesort、libstrstr、matmult、libfibcall）
Prefetch-Stride 预取探针（正/负/交错 stride、pointer chase、跨页 stride、训练后变步长）",queue非空,L0 训练项/请求是否消费；L1 PC/stride/confidence/queue；L2预取地址、issued/useful/late/useless；L3填充way、驱逐对象、需求合并；L4架构结果；L5结局与性能偏差；队列守恒、request ID、重复/丢失、stale age,通常丢预取或重复预取；错误项若带陈旧transaction可能污染fill配对,MICRO'24指出prefetcher内部buffer对粒子/时延均脆弱,MICRO'24直接研究Ibex prefetch buffer，但非gem5 OoO
56,P05,数据预取器,预取请求的 issue/cancel/complete 事件以及与需求 miss 合并的握手。需求访问到来时，已有预取可能被提升、合并或取消；事件错配可能让需求消费者等待错误事务。,时序,丢失、重复、延后一条预取；需求到来时取消事件丢失。实施细则：绑定一条明确的 dynamic instruction 或 transaction ID，只改变一次事件的发生周期或次数；提前、延后、丢失和重复必须分成独立子模型。数据载荷保持正确，以便把结果归因于握手/完成时序而不是数据翻转。激活口径：仅当“预取与需求竞争”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F4 / F6,"Prefetch-Stride 预取探针（正/负/交错 stride、pointer chase、跨页 stride、训练后变步长）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",预取与需求竞争,L0 训练项/请求是否消费；L1 PC/stride/confidence/queue；L2预取地址、issued/useful/late/useless；L3填充way、驱逐对象、需求合并；L4架构结果；L5结局与性能偏差；demand/prefetch MSHR merge、transaction ID、返回消费者,通常性能；错取消/错合并可能造成需求拿到错误事务的数据，是重点异常路径,覆盖需求-预取竞争的事件配对,本方案结构化模型
57,P06,数据预取器,Cache 请求中的 demand/prefetch 分类位和 fill 权限属性。分类影响优先级、替换与统计，ownership/dirty/allocate 决定填充后 line 的一致性权限；后者错误才可能从性能问题升级为正确性问题。,换值,把prefetch标成demand或反向；错误赋予dirty/ownership/allocate权限。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“prefetch fill”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
Prefetch-Stride 预取探针（正/负/交错 stride、pointer chase、跨页 stride、训练后变步长）",prefetch fill,L0 训练项/请求是否消费；L1 PC/stride/confidence/queue；L2预取地址、issued/useful/late/useless；L3填充way、驱逐对象、需求合并；L4架构结果；L5结局与性能偏差；请求属性、coherence权限、dirty来源、writeback,分类错可能改变替换优先级；若伪造dirty/ownership则可能错误写回或一致性SDC,这是预取器区别于分支预测器的架构风险路径,本方案检验现有研究空白
58,P07,数据预取器,预取响应进入 cache 时的 fill tag、目标 way、valid 与 data 写入配对。正确实现必须把同一 transaction 的 tag/data 写入同一 way；错位会形成 tag-data 不一致并被后续需求访问命中。,错位拼接,预取返回时把data写入way A、tag写入way B，或沿用旧tag/valid；不修改需求fill。实施细则：保持各输入片段本身不变，只修改片段来源、顺序、移位量或拼接选择，使结果仍是完整位串；交换、循环移位、清零和读旧值必须作为独立子模型统计。每次运行只启用一种拼接规则，记录每个输出字节/子字段的真实来源。激活口径：仅当“prefetch response fill”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
Prefetch-Stride 预取探针（正/负/交错 stride、pointer chase、跨页 stride、训练后变步长）",prefetch response fill,L0 训练项/请求是否消费；L1 PC/stride/confidence/queue；L2预取地址、issued/useful/late/useless；L3填充way、驱逐对象、需求合并；L4架构结果；L5结局与性能偏差；tag/data写入way、fill ID、后续false hit、受害line,直接造成tag-data错配，预期可高SDC；这不是普通“取错地址”,验证预取填充控制是否形成独立正确性风险,无直接文献
59,P08,数据预取器,预取训练表的 stride 状态、失效/老化状态及可选 parity 保护。表项长期不失效或 stride bit 卡死会反复生成同类错误预取；若实现保护，还需观察校验上报是否被抑制。,卡死/保护,stride bit卡死、表项永不失效；若有parity则翻校验位或抑制上报。实施细则：在 warm-up 后固定一个物理 bit、lane 或控制位置，并独立执行 stuck-at-0 与 stuck-at-1 两个 campaign；之后每次读出/写入都施加同一掩码直到运行结束。若某次事件的正确值本来就等于卡死值，该次不增加 activated。激活口径：仅当“首个训练项后持续”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F5,"Prefetch-Stride 预取探针（正/负/交错 stride、pointer chase、跨页 stride、训练后变步长）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",首个训练项后持续,L0 训练项/请求是否消费；L1 PC/stride/confidence/queue；L2预取地址、issued/useful/late/useless；L3填充way、驱逐对象、需求合并；L4架构结果；L5结局与性能偏差；表项寿命、错误请求率、fill元数据完整性、输出,纯训练卡死预期仅性能；保护失效并污染fill元数据时才可能SDC,永久预测错误是强负对照，同时预留保护路径,MICRO'24说明prefetch结构可脆弱，但未给SDC/Crash分类
60,T10,L1d-TLB,L1 d-TLB 有效表项的 PPN（Physical Page Number）数据字段。VPN/ASID 命中后，PPN 与页内偏移组成送往 L1D 的物理地址；该字段是 TC'23 类实验中最需要保留的基础对照。,单比特翻转,随机选择一个后续会再次命中的有效表项，在 PPN 内均匀翻转 1 bit；按低/中/高物理地址位分层，VPN、ASID、权限和页大小保持不变。仅当该表项之后被命中且故障 PPN 被用于形成物理地址时计为 activated；保存 entry、bit、原值、故障值和首次消费事务。,F0 / F1 / F2,"MiBench-TC23 论文负载（blowfish、patricia、fft、gsm、dijkstra、rijndael、sha、bitcount、edge、smooth）
TLB-AliasPerm 地址翻译探针（4KiB/2MiB 页、ASID、同VA不同PA、权限、TLBI、跨页访问）
SPEC CPU2017 采样区间",DTLB 中存在有效项且后续再次命中,L0 attempted/activated；L1 PPN 原值/故障值与命中项；L2 翻译后PA、权限与页大小；L3 cache line/DRAM落点；L4首次错误load/store；L5结局；按bit区间统计,高位翻转更可能触发地址异常或Crash；落入另一已映射物理页时可能产生SDC；与VPN-tag单比特结果不应混算,补回旧版具备而新版缺失的字段级单比特基线，使PPN双比特、卡死和合法换值均有可比较的F0对照,TC'22/TC'23 对 DTLB 瞬态注入提供直接机制与结果对照
61,S13,Store Queue,Store Queue 有效未提交表项的 store address/tag 字段。该字段决定最终写入地址，同时参与 store-to-load forwarding 和内存依赖冲突检查。,单比特翻转,在有效且未提交的 SQ 表项 address/tag 中翻转 1 bit，store data、byte-enable 和生命周期状态保持不变。只有当故障地址参与 forwarding 比较、冲突检查或最终 cache 写请求时计为 activated；记录是否被 violation/replay 或提交前检查捕获。,F0 / F1 / F2,"MiBench-TC23 论文负载（blowfish、patricia、fft、gsm、dijkstra、rijndael、sha、bitcount、edge、smooth）
SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
SPEC CPU2017 采样区间
SQLite-Speedtest1 真实应用（B树、事务与完整性检查）",SQ 中存在地址已知、尚未提交且之后会被消费的 store,L0目标寿命与activated；L1 SQ地址、age和状态；L2 forwarding/violation/replay、请求地址；L3实际写入line；L4 commit与内存副作用；L5结局,大多数随机地址错误应被依赖检查、异常或回放捕获；少数形成合法错址时可能SDC，预期低于合法地址换值模型,恢复保护机制基线，才能判断S04合法地址替换是否真正绕过了地址/tag通路的检查,TC'23 对 LQ/SQ 地址类字段的低SDC结果可作直接对照；IISWC'15/HPCA'24提供LSQ背景
62,L01,Load Queue,Load Queue 有效表项的 load address/tag 字段。该字段保存已发射或等待完成的 load 地址，并用于与更老 store 做冲突检测和内存序违规检查。,单比特翻转,在有效 LQ 表项的地址/tag 中翻转 1 bit，目标 load 的目的寄存器、访问大小和其他状态不变。仅当故障字段之后参与 store 冲突比较、cache 请求或 violation 检查时计为 activated。,F0 / F1 / F2,"MiBench-TC23 论文负载（blowfish、patricia、fft、gsm、dijkstra、rijndael、sha、bitcount、edge、smooth）
SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
SQLite-Speedtest1 真实应用（B树、事务与完整性检查）",LQ 中存在尚未退休且地址已知的有效 load,L0目标寿命；L1 LQ地址/age/issued状态；L2 cache请求、store冲突、violation/replay；L3返回line；L4目的寄存器与commit；L5结局,多数故障导致miss、replay或异常；若错误地址仍合法且违规检测未触发，可能把错误load值提交为SDC,补齐旧版已有而新版完全删除的Load Queue基本存储字段覆盖,TC'23、HPCA'24 对 LQ 直接注入；指标口径需与SQ分开
63,L02,Load Queue,Load Queue 表项的 valid、issued、completed、squashed 等生命周期状态。它们决定请求能否发出、返回值能否写回以及错误路径表项是否被清除。,状态,一次只改变一种状态转换：valid伪造/丢失、issued提前/丢失、completed提前、squashed未清除；不同时修改地址或数据。记录关联 dynamic instruction 和完整状态轨迹。只有故障状态被调度、完成或提交逻辑消费时计为 activated。,F0 / F2 / F6,"SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
SQLite-Speedtest1 真实应用（B树、事务与完整性检查）",LQ 表项发生分配、发射、完成或清除状态转换,L1状态轨迹与占用守恒；L2 issued/dropped/duplicate request；L3返回事务；L4写回、提交和错误路径副作用；L5结局,completed提前或squashed未清除可能提交陈旧值；valid/issued丢失更常表现为重放、停顿或Timeout,地址字段不足以代表LQ风险，生命周期错误可绕开单纯的数据完整性检查,现有LQ文献多集中存储字段，本行为机制扩展
64,L03,Load Queue,Load Queue 的内存序违规检测与 replay 元数据，包括更老 store 的地址比较结果、violation 标记、replay 原因和重放选择。,换值/时序,当年轻 load 已执行而更老 store 地址稍后解析时，制造 false negative violation、丢失一次 replay，或把 replay 目标替换为另一条有效 load。三种子模型独立执行；数据本身不翻转。仅当存在真实或潜在地址冲突时计为 eligible。,F0 / F4 / F6,"SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
SQLite-Speedtest1 真实应用（B树、事务与完整性检查）",年轻load先执行且更老store地址在后续周期解析,L1比较向量与replay队列；L2 violation、replay、load数据来源；L3最终内存可见序；L4提交值；L5结局,false negative或replay丢失可能让陈旧load值静默提交；false positive主要造成性能下降,把内存依赖预测错误与最终正确性兜底机制分开，覆盖真正可能把预测错误升级为SDC的路径,与TC'23所述提交前依赖检查保护机制直接相关；具体逻辑故障缺少现有实测
65,L04,Load Queue,cache 返回到 LSU/LQ 的 load response transaction ID、目标动态指令和目的寄存器路由。多个在途 load 返回时必须与原请求一一配对。,换值,在至少两个在途 load 时，把返回响应的 transaction ID 或目标动态指令替换为另一当前有效 load 的 ID；返回 data 保持原值。每次只错配一个响应，保存 source/target ID。只有错误响应被写回或参与提交时计为 activated。,F0 / F2 / F6,"SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
SPEC CPU2017 采样区间
SQLite-Speedtest1 真实应用（B树、事务与完整性检查）",同时存在至少两个在途load且发生cache response,L1 LQ目标与response ID；L2请求-响应配对；L3返回line；L4目的寄存器、首个错误commit及扇出；L5结局,两个响应数据各自合法但送错消费者，异常检测较弱，可能形成高SDC路径,补足LQ除地址/状态之外的返回配对风险，与MSHR target错配形成端到端对照,无直接字段级文献；与MSHR/ROB目标错配机制类比
66,C14,L1d-Cache,L1D MSHR 表项的 busy/occupied 状态和释放路径。请求完成后表项应准确释放；状态卡死会逐步耗尽可用 MSHR。,卡死,warm-up 后选择一个 MSHR 表项，使 busy/occupied stuck-at-1；对应 miss 正常完成，但表项不回到 free list。每次运行只固定一个表项，并记录实际可用容量、排队长度和是否形成死锁。,F5,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",目标MSHR首次完成并应释放后持续,L1 MSHR占用与free list；L2 miss发射/阻塞；L3fill完成；L4提交进度；L5性能、Timeout和结局,主要表现为容量退化和Timeout；若实现错误复用被占用表项，则可能升级为数据错配,恢复旧版已有的MSHR资源泄漏模型，与C11的数据/target错配分开归因,无直接文献；资源状态机制推理
67,C15,L1d-Cache,L1D MSHR occupancy counter、free-list 和容量仲裁逻辑。它决定是否允许新 miss 分配以及选择哪个空闲表项。,状态/换值,独立执行三种子模型：占用计数±1、在容量已满时伪造空位、free-list选择另一在用表项。仅在仲裁结果真正允许/阻止一次miss分配时计为 activated；不得与C11 target错配同时注入。,F0 / F4 / F6,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）
SPEC CPU2017 采样区间",MSHR接近或达到容量上限时发生新miss分配,L1 occupancy/free-list守恒；L2分配、阻塞和覆盖对象；L3fill transaction ID；L4错误load值/停顿；L5结局,少计可能覆盖在用表项并造成响应错配或SDC；多计主要降低并发度并增加Timeout风险,补回旧版容量计数逻辑，并显式区分资源记账错误与MSHR内容错误,无直接文献；MSHR容量和并发miss机制推理
68,O09,原子与同步,LSE 原子 RMW 指令的 compare、replacement、addend、old-value 或 result 数据锁存器。该位置保存原子操作真实参与计算或返回软件的数据。,单比特翻转,在一次 CAS/SWP/LDADD 等原子操作中，只对一个操作数或结果锁存器翻转 1 bit；地址、操作码、成功状态和事务时序不变。compare/replacement/addend/old-value 分开统计。仅当故障值参与比较、写内存或返回软件时计为 activated。,F0 / F1 / F2,"Atomic-Litmus 并发探针（MP、SB、LB、IRIW、Dekker、ticket lock、CAS counter、LDXR/STXR）
PARSEC-Selected 多线程应用（共享队列、锁与任务并行）",CAS/SWP/LDADD 等原子操作进入执行或返回阶段,L1正确/故障操作数；L2原子请求和成功判定；L3内存更新与全局可见序；L4返回寄存器、共享变量和锁状态；L5结局,可能造成错误比较、错误更新或错误返回，通常不触发地址异常；在复杂同步负载中可表现为lost update、死锁或SDC,恢复旧版最基本的原子数据瞬态基线，使O04结构化MUX错选有可比较对象,本地论文缺少原子单元直接结果；属于必要基础故障模型
69,P09,数据预取器,由预取请求触发的 cache victim 选择、dirty victim writeback 请求及完成握手。该路径与需求miss共享底层写回资源，但触发来源明确标记为prefetch。,时序/状态,仅在预取分配导致 dirty line 驱逐时，独立执行：丢失writeback request、提前报告writeback done、或把dirty状态错误清除。victim tag/data 保持不变；记录prefetch transaction和victim line。,F0 / F4 / F6,"Cache-DirtyEvict 缓存探针（0.5×/1×/2×L1D working set、conflict set、dirty eviction、writeback）
Prefetch-Stride 预取探针（正/负/交错 stride、pointer chase、跨页 stride、训练后变步长）
PARSEC-Selected 多线程应用（共享队列、锁与任务并行）",prefetch分配cache line并驱逐dirty victim,L1预取来源与victim选择；L2prefetch/demand分类和request ID；L3dirty、writeback地址/数据及后续重读；L4共享变量/输出；L5结局,跳过脏行写回会静默丢失最新数据；与普通预取地址错误不同，预期可产生非零SDC,恢复旧版对预取触发脏驱逐的独立问题定义，用事件标签检验预取激进度是否放大正确性风险,无直接预取器文献；与L1D dirty/writeback故障共享机制但触发来源不同
